Year of occurance,Sum of Deforrested Area in Brazil,Average Temperture per year
2004,27772,26
2005,19014,25
2006,14286,26
2007,11651,25
2008,12911,27
2009,7464,27
2010,7000,26
2011,6418,27
2012,4571,27
2013,5891,29
2014,5012,28
2015,6207,29
2016,7893,29
2017,6947,30
2018,7536,30
2019,9762,31
